Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g)
50:31.7,G:\WIT00021.TXT,40:11.0,0.373,0.659,-1.325
50:31.7,G:\WIT00021.TXT,40:11.1,0.341,0.443,-0.87
50:31.7,G:\WIT00021.TXT,40:11.2,0.264,0.065,-0.491
50:31.7,G:\WIT00021.TXT,40:11.2,0.33,0.043,-0.737
50:31.7,G:\WIT00021.TXT,40:11.3,0.383,0.387,-1.139
50:31.7,G:\WIT00021.TXT,40:11.4,0.361,0.568,-1.135
50:31.7,G:\WIT00021.TXT,40:11.4,0.328,0.585,-0.932
50:31.7,G:\WIT00021.TXT,40:11.5,0.333,0.619,-0.879
50:31.7,G:\WIT00021.TXT,40:11.6,0.41,0.632,-0.926
50:31.7,G:\WIT00021.TXT,40:11.6,0.658,0.474,-0.683
50:31.7,G:\WIT00021.TXT,40:11.7,0.784,0.487,-0.611
50:31.7,G:\WIT00021.TXT,40:11.8,0.626,0.701,-0.244
50:31.7,G:\WIT00021.TXT,40:11.8,0.259,0.733,0.243
50:31.7,G:\WIT00021.TXT,40:11.9,0.006,0.539,0.483
50:31.7,G:\WIT00021.TXT,40:12.0,0.094,0.583,0.511
50:31.7,G:\WIT00021.TXT,40:12.0,0.187,1.011,0.736
50:31.7,G:\WIT00021.TXT,40:12.1,0.056,1.098,0.926
50:31.7,G:\WIT00021.TXT,40:12.1,0.085,0.783,0.755
50:31.7,G:\WIT00021.TXT,40:12.2,0.486,0.496,0.819
50:31.7,G:\WIT00021.TXT,40:12.3,0.171,0.575,1.123
50:31.7,G:\WIT00021.TXT,40:12.3,0.32,0.316,0.821
50:31.7,G:\WIT00021.TXT,40:12.4,0.254,0.431,0.904
50:31.7,G:\WIT00021.TXT,40:12.5,0.221,0.26,0.825
50:31.7,G:\WIT00021.TXT,40:12.5,0.334,0.291,0.894
50:31.7,G:\WIT00021.TXT,40:12.6,0.319,0.341,0.933
50:31.7,G:\WIT00021.TXT,40:12.7,0.433,0.216,0.899
50:31.7,G:\WIT00021.TXT,40:12.7,0.246,0.271,0.908
50:31.7,G:\WIT00021.TXT,40:12.8,0.22,0.236,0.828
50:31.7,G:\WIT00021.TXT,40:12.9,0.389,0.047,0.768
50:31.7,G:\WIT00021.TXT,40:12.9,0.464,0.286,0.984
50:31.7,G:\WIT00021.TXT,40:13.0,0.335,0.193,0.931
50:31.7,G:\WIT00021.TXT,40:13.1,0.373,0.25,0.886
50:31.7,G:\WIT00021.TXT,40:13.1,0.356,0.292,0.905
50:31.7,G:\WIT00021.TXT,40:13.2,0.292,0.195,0.892
50:31.7,G:\WIT00021.TXT,40:13.3,0.329,0.19,0.897
50:31.7,G:\WIT00021.TXT,40:13.3,0.361,0.394,0.826
50:31.7,G:\WIT00021.TXT,40:13.4,0.363,0.403,0.939
50:31.7,G:\WIT00021.TXT,40:13.4,0.374,0.453,0.817
50:31.7,G:\WIT00021.TXT,40:13.5,0.459,0.487,0.831
50:31.7,G:\WIT00021.TXT,40:13.6,0.628,0.486,0.653
50:31.7,G:\WIT00021.TXT,40:13.6,0.473,0.584,0.85
